Trace,Policy,L1_Size,L2_Size,L1_Hits,L1_Misses,L1_Accesses,L1_Writes,L1_Charged,L1_Hit_Ratio,L2_Hits,L2_Misses,L2_Accesses,L2_Writes,L2_Charged,L2_Hit_Ratio,Total_Hits,Total_Misses,Total_Accesses,Remote_Accesses,Remote_Writes,Remote_Charged,Total_Hit_Ratio,Time(s), WeightedFastDB, WeightedModDB, WeightedSlowDB
redis_anonymized_trace_1.txt, HierarchicalCache,10,990,1945322,3143810,5089132,3143810,5089132, 0.38225025407083174,1706789,1437021,3143810,1437018,1706789, 0.5429046284603714,3652111,1437021,5089132,1437021,0,1437021, 0.7176294503659956,11.6698,22035143,79515983,151367033
redis_anonymized_trace_1.txt, HierarchicalCache,50,950,2986303,2102829,5089132,2102829,5089132, 0.5868000672806286,660852,1441977,2102829,1441955,660852,0.314268065,3647155,1441977,5089132,1441977,0,1441977, 0.7166556104262967,9.8594,18946892,76625972,148724822
redis_anonymized_trace_1.txt, HierarchicalCache,100,900,3221225,1867907,5089132,1867907,5089132, 0.6329615738007974,421964,1445943,1867907,1445908,421964, 0.22590203902014394,3643189,1445943,5089132,1445943,0,1445943, 0.7158763026779419,10.3913,18269888,76107608,148404758
redis_anonymized_trace_1.txt, HierarchicalCache,200,800,3293725,1795407,5089132,1795407,5089132, 0.6472076181164096,342920,1452487,1795407,1452853,342920, 0.19099847555456784,3636645,1452487,5089132,1452487,0,1452487, 0.7145904252434403,11.126,18098196,76197676,148822026
redis_anonymized_trace_1.txt, HierarchicalCache,300,700,3302527,1786605,5089132,1786605,5089132, 0.6489371861449065,326659,1459946,1786605,1462133,326659,0.18283784,3629186,1459946,5089132,1459946,0,1459946, 0.7131247529048176,15.5147,18124003,76521843,149519143
redis_anonymized_trace_1.txt, HierarchicalCache,400,600,3305632,1783500,5089132,1783500,5089132, 0.6495473098359406,316148,1467352,1783500,1508365,316148, 0.17726268573030557,3621780,1467352,5089132,1467352,0,1467352, 0.7116694949158324,15.0538,18166530,76860610,150228210
redis_anonymized_trace_1.txt, HierarchicalCache,500,500,3308820,1780312,5089132,1780312,5089132, 0.6501737427915015,314113,1466199,1780312,1772479,314113, 0.1764370514831108,3622933,1466199,5089132,1466199,0,1466199, 0.7118960561447414,15.514,18148895,76796855,150106805
redis_anonymized_trace_1.txt, HierarchicalCache,20,1980,2436364,2652768,5089132,2652768,5089132, 0.4787386139718915,1363570,1289198,2652768,1289191,1363570, 0.5140178108300462,3799934,1289198,5089132,1289198,0,1289198, 0.7466762504882954,18.4026,19527256,71095176,135555076
redis_anonymized_trace_1.txt, HierarchicalCache,100,1900,3221225,1867907,5089132,1867907,5089132, 0.6329615738007974,575996,1291911,1867907,1291852,575996, 0.30836438859108084,3797221,1291911,5089132,1291911,0,1291911,0.746143154,15.2856,17191664,68868104,133463654
redis_anonymized_trace_1.txt, HierarchicalCache,200,1800,3293725,1795407,5089132,1795407,5089132, 0.6472076181164096,500922,1294485,1795407,1294357,500922, 0.27900191989894213,3794647,1294485,5089132,1294485,0,1294485, 0.7456373699876521,15.291,16992182,68771582,133495832
redis_anonymized_trace_1.txt, HierarchicalCache,400,1600,3305632,1783500,5089132,1783500,5089132, 0.6495473098359406,484294,1299206,1783500,1299303,484294, 0.2715413512755817,3789926,1299206,5089132,1299206,0,1299206,0.744709707,15.5949,16989508,68957748,133918048
redis_anonymized_trace_1.txt, HierarchicalCache,600,1400,3328697,1760435,5089132,1760435,5089132,0.654079517,457144,1303291,1760435,1306101,457144, 0.2596767276269786,3785841,1303291,5089132,1303291,0,1303291, 0.7439070159705035,15.1963,16948908,69080548,134245098
redis_anonymized_trace_1.txt, HierarchicalCache,800,1200,3509404,1579728,5089132,1579728,5089132, 0.6895879297294706,277851,1301877,1579728,1352928,277851, 0.1758853422867734,3787255,1301877,5089132,1301877,0,1301877, 0.7441848629589486,14.4442,16396889,68471969,133565819
redis_anonymized_trace_1.txt, HierarchicalCache,1000,1000,3653992,1435140,5089132,1435140,5089132, 0.7179990615295496,137903,1297237,1435140,1346152,137903,0.096090277,3791895,1297237,5089132,1297237,0,1297237, 0.7450966097951478,15.3596,15930645,67820125,132681975
redis_anonymized_trace_1.txt, HierarchicalCache,30,2970,2704061,2385071,5089132,2385071,5089132,0.531340315,1175421,1209650,2385071,1209638,1175421, 0.4928243226302278,3879482,1209650,5089132,1209650,0,1209650, 0.7623072068085481,17.6134,18167329,66553329,127035829
redis_anonymized_trace_1.txt, HierarchicalCache,150,2850,3277797,1811335,5089132,1811335,5089132, 0.6440778113045604,598742,1212593,1811335,1212500,598742, 0.3305528795059997,3876539,1212593,5089132,1212593,0,1212593, 0.7617289156579158,14.4799,16466722,64970442,125600092
redis_anonymized_trace_1.txt, HierarchicalCache,300,2700,3302527,1786605,5089132,1786605,5089132, 0.6489371861449065,570766,1215839,1786605,1215663,570766, 0.31946960855925066,3873293,1215839,5089132,1215839,0,1215839, 0.7610910858669022,15.5521,16415254,65048814,125840764
redis_anonymized_trace_1.txt, HierarchicalCache,600,2400,3328697,1760435,5089132,1760435,5089132,0.654079517,538625,1221810,1760435,1221691,538625, 0.30596131069877613,3867322,1221810,5089132,1221810,0,1221810, 0.7599178013067848,15.1739,16378541,65250941,126341441
redis_anonymized_trace_1.txt, HierarchicalCache,900,2100,3603128,1486004,5089132,1486004,5089132,0.70800443,265291,1220713,1486004,1239631,265291, 0.1785264373447178,3868419,1220713,5089132,1220713,0,1220713, 0.7601333586945672,14.8361,15547569,64376089,125411739
redis_anonymized_trace_1.txt, HierarchicalCache,1200,1800,3690997,1398135,5089132,1398135,5089132, 0.7252704390454011,178887,1219248,1398135,1246715,178887, 0.12794687208316793,3869884,1219248,5089132,1219248,0,1219248,0.760421227,14.2439,15273707,64043627,125006027
redis_anonymized_trace_1.txt, HierarchicalCache,1500,1500,3737724,1351408,5089132,1351408,5089132, 0.7344521619796853,133464,1217944,1351408,1258450,133464,0.09875922,3871188,1217944,5089132,1217944,0,1217944, 0.7606774593388421,14.7692,15124398,63842158,124739358
redis_anonymized_trace_1.txt, HierarchicalCache,40,3960,2871813,2217319,5089132,2217319,5089132, 0.5643031070917398,1062878,1154441,2217319,1154423,1062878, 0.47935276791476555,3934691,1154441,5089132,1154441,0,1154441, 0.7731556186791775,15.9893,17277610,63455250,121177300
redis_anonymized_trace_1.txt, HierarchicalCache,200,3800,3293725,1795407,5089132,1795407,5089132, 0.6472076181164096,638106,1157301,1795407,1157181,638106, 0.35541022174916326,3931831,1157301,5089132,1157301,0,1157301,0.772593637,15.2556,16031894,62323934,120188984
redis_anonymized_trace_1.txt, HierarchicalCache,400,3600,3305632,1783500,5089132,1783500,5089132, 0.6495473098359406,623057,1160443,1783500,1160228,623057, 0.34934510793383794,3928689,1160443,5089132,1160443,0,1160443, 0.7719762427070078,15.353,16018167,62435887,120458037
redis_anonymized_trace_1.txt, HierarchicalCache,800,3200,3509404,1579728,5089132,1579728,5089132, 0.6895879297294706,414831,1164897,1579728,1170542,414831, 0.26259647230409283,3924235,1164897,5089132,1164897,0,1164897, 0.7711010443431218,14.9343,15438029,62033909,120278759
redis_anonymized_trace_1.txt, HierarchicalCache,1200,2800,3690997,1398135,5089132,1398135,5089132, 0.7252704390454011,234252,1163883,1398135,1175197,234252, 0.1675460524198307,3925249,1163883,5089132,1163883,0,1163883, 0.7713002924663773,14.6392,14886152,61441472,119635622
redis_anonymized_trace_1.txt, HierarchicalCache,1600,2400,3755352,1333780,5089132,1333780,5089132, 0.7379160139685903,170292,1163488,1333780,1189070,170292, 0.12767622846346474,3925644,1163488,5089132,1163488,0,1163488, 0.7713779088457521,14.1006,14690322,61229842,119404242
redis_anonymized_trace_1.txt, HierarchicalCache,2000,2000,3801062,1288070,5089132,1288070,5089132, 0.7468978992881301,126129,1161941,1288070,1201701,126129,0.09792092,3927191,1161941,5089132,1161941,0,1161941, 0.7716818899568728,14.8581,14542363,61020003,119117053
redis_anonymized_trace_1.txt, HierarchicalCache,50,4950,2986303,2102829,5089132,2102829,5089132, 0.5868000672806286,988433,1114396,2102829,1114372,988433, 0.4700491575872313,3974736,1114396,5089132,1114396,0,1114396, 0.7810243475704698,16.3801,16653825,61229665,116949465
redis_anonymized_trace_1.txt, HierarchicalCache,250,4750,3299584,1789548,5089132,1789548,5089132, 0.6483588949942741,672218,1117330,1789548,1117186,672218,0.375635635,3971802,1117330,5089132,1117330,0,1117330, 0.7804478248943042,15.4277,15734520,60427720,116294220
redis_anonymized_trace_1.txt, HierarchicalCache,500,4500,3308820,1780312,5089132,1780312,5089132, 0.6501737427915015,659731,1120581,1780312,1120322,659731, 0.37057043933872263,3968551,1120581,5089132,1120581,0,1120581, 0.7798090126174758,14.9357,15729569,60552809,116581859
redis_anonymized_trace_1.txt, HierarchicalCache,1000,4000,3653992,1435140,5089132,1435140,5089132, 0.7179990615295496,312526,1122614,1435140,1128970,312526, 0.21776690775812813,3966518,1122614,5089132,1122614,0,1122614, 0.7794095338851498,14.6527,14708284,59612844,115743544
redis_anonymized_trace_1.txt, HierarchicalCache,1500,3500,3737724,1351408,5089132,1351408,5089132, 0.7344521619796853,227751,1123657,1351408,1131818,227751, 0.16852867527793236,3965475,1123657,5089132,1123657,0,1123657,0.779204587,13.9733,14464389,59410669,115593519
redis_anonymized_trace_1.txt, HierarchicalCache,2000,3000,3801062,1288070,5089132,1288070,5089132, 0.7468978992881301,164680,1123390,1288070,1147929,164680, 0.12785019447700824,3965742,1123390,5089132,1123390,0,1123390,0.779257052,14.2905,14272506,59208106,115377606
redis_anonymized_trace_1.txt, HierarchicalCache,2500,2500,3845914,1243218,5089132,1243218,5089132, 0.7557111900418382,121439,1121779,1243218,1162380,121439,0.097681179,3967353,1121779,5089132,1121779,0,1121779, 0.7795736090162331,13.5311,14126673,58997833,115086783
