Trace               ,Policy      ,Cache Size  ,Hits        ,Misses      ,Hit Ratio   ,Time(s)     ,DynamodbDRAM,DynamodbSSD ,MongodbDRAM ,MongodbSSD  ,SQLDRAM     ,SQLSSD      
zipf_0.6_0.0.tr     ,LRU         ,1000        ,21468       ,1978532     ,0.010734    ,1.4116      ,  19796054.0,    19849724,  98937334.0,    98991004, 197863934.0,   197917604
zipf_0.6_0.0.tr     ,LRU         ,2000        ,37010       ,1962990     ,0.018505    ,1.395       ,  19648405.0,    19740930,  98168005.0,    98260530, 196317505.0,   196410030
zipf_0.6_0.0.tr     ,LRU         ,3000        ,49910       ,1950090     ,0.024955    ,1.4177      ,  19525855.0,    19650630,  97529455.0,    97654230, 195033955.0,   195158730
zipf_0.6_0.0.tr     ,LRU         ,4000        ,61519       ,1938481     ,0.0307595   ,1.449       ,  19415569.5,    19569367,  96954809.5,    97108607, 193878859.5,   194032657
zipf_0.6_0.0.tr     ,LRU         ,5000        ,72048       ,1927952     ,0.036024    ,1.4494      ,  19315544.0,    19495664,  96433624.0,    96613744, 192831224.0,   193011344
zipf_0.6_0.0.tr     ,LRU         ,6000        ,81862       ,1918138     ,0.040931    ,1.4532      ,  19222311.0,    19426966,  95947831.0,    96152486, 191854731.0,   192059386
zipf_0.6_0.0.tr     ,LRU         ,7000        ,90931       ,1909069     ,0.0454655   ,1.4731      ,  19136155.5,    19363483,  95498915.5,    95726243, 190952365.5,   191179693
zipf_0.6_0.0.tr     ,LRU         ,8000        ,99545       ,1900455     ,0.0497725   ,1.4742      ,  19054322.5,    19303185,  95072522.5,    95321385, 190095272.5,   190344135
zipf_0.6_0.0.tr     ,LRU         ,9000        ,107794      ,1892206     ,0.053897    ,1.4363      ,  18975957.0,    19245442,  94664197.0,    94933682, 189274497.0,   189543982
zipf_0.6_0.0.tr     ,LRU         ,10000       ,115658      ,1884342     ,0.057829    ,1.4827      ,  18901249.0,    19190394,  94274929.0,    94564074, 188492029.0,   188781174
zipf_0.6_0.0.tr     ,LRU         ,20000       ,182848      ,1817152     ,0.091424    ,1.4957      ,  18262944.0,    18720064,  90949024.0,    91406144, 181806624.0,   182263744
zipf_0.6_0.0.tr     ,LRU         ,30000       ,237674      ,1762326     ,0.118837    ,1.5722      ,  17742097.0,    18336282,  88235137.0,    88829322, 176351437.0,   176945622
