Trace               ,Policy      ,Cache Size  ,Hits        ,Misses      ,Hit Ratio   ,Time(s)     ,DynamodbDRAM,DynamodbSSD ,MongodbDRAM ,MongodbSSD  ,SQLDRAM     ,SQLSSD      
zipf_0.6_0.0.tr     ,LRU         ,1000        ,21687       ,1978313     ,0.0108435   ,2.2617      ,  19793973.5,    19848191,  98926493.5,    98980711, 197842143.5,   197896361
zipf_0.6_0.0.tr     ,LRU         ,3000        ,50022       ,1949978     ,0.025011    ,2.2228      ,  19524791.0,    19649846,  97523911.0,    97648966, 195022811.0,   195147866
zipf_0.6_0.0.tr     ,LRU         ,5000        ,72054       ,1927946     ,0.036027    ,2.3382      ,  19315487.0,    19495622,  96433327.0,    96613462, 192830627.0,   193010762
zipf_0.6_0.0.tr     ,LRU         ,7000        ,90782       ,1909218     ,0.045391    ,2.2893      ,  19137571.0,    19364526,  95506291.0,    95733246, 190967191.0,   191194146
zipf_0.6_0.0.tr     ,LRU         ,9000        ,107764      ,1892236     ,0.053882    ,2.327       ,  18976242.0,    19245652,  94665682.0,    94935092, 189277482.0,   189546892
zipf_0.6_0.0.tr     ,LRU         ,10000       ,115523      ,1884477     ,0.0577615   ,2.2844      ,  18902531.5,    19191339,  94281611.5,    94570419, 188505461.5,   188794269
zipf_0.6_0.0.tr     ,LRU         ,30000       ,236802      ,1763198     ,0.118401    ,2.4263      ,  17750381.0,    18342386,  88278301.0,    88870306, 176438201.0,   177030206
zipf_0.6_0.0.tr     ,LRU         ,50000       ,326823      ,1673177     ,0.1634115   ,2.5481      ,  16895181.5,    17712239,  83822261.5,    84639319, 167481111.5,   168298169
zipf_0.6_0.0.tr     ,LRU         ,70000       ,403062      ,1596938     ,0.201531    ,2.7353      ,  16170911.0,    17178566,  80048431.0,    81056086, 159895331.0,   160902986
zipf_0.6_0.0.tr     ,LRU         ,90000       ,469163      ,1530837     ,0.2345815   ,3.1324      ,  15542951.5,    16715859,  76776431.5,    77949339, 153318281.5,   154491189
