Trace               ,Cache Size  ,Policy      ,Hits        ,Misses      ,Hit Ratio   , Time(s)     ,DynamodbDRAM,DynamodbSSD ,MongodbDRAM ,MongodbSSD  ,SQLDRAM     ,SQLSSD      
zipf_1.0_0.0.tr     ,1000        ,LRU         ,803929      ,1196071     ,0.4019645   ,1.2055      ,  12362674.5,    14372497,  60205514.5,    62215337, 120009064.5,   122018887
zipf_1.0_0.0.tr     ,2000        ,LRU         ,911500      ,1088500     ,0.45575     ,1.1508      ,  11340750.0,    13619500,  54880750.0,    57159500, 109305750.0,   111584500
zipf_1.0_0.0.tr     ,3000        ,LRU         ,975608      ,1024392     ,0.487804    ,1.1413      ,  10731724.0,    13170744,  51707404.0,    54146424, 102927004.0,   105366024
zipf_1.0_0.0.tr     ,4000        ,LRU         ,1021367     ,978633      ,0.5106835   ,1.1068      ,  10297013.5,    12850431,  49442333.5,    51995751,  98373983.5,   100927401
zipf_1.0_0.0.tr     ,5000        ,LRU         ,1056745     ,943255      ,0.5283725   ,1.0972      ,   9960922.5,    12602785,  47691122.5,    50332985,  94853872.5,    97495735
zipf_1.0_0.0.tr     ,6000        ,LRU         ,1085948     ,914052      ,0.542974    ,1.0955      ,   9683494.0,    12398364,  46245574.0,    48960444,  91948174.0,    94663044
zipf_1.0_0.0.tr     ,7000        ,LRU         ,1110460     ,889540      ,0.55523     ,1.1529      ,   9450630.0,    12226780,  45032230.0,    47808380,  89509230.0,    92285380
zipf_1.0_0.0.tr     ,8000        ,LRU         ,1131723     ,868277      ,0.5658615   ,1.1034      ,   9248631.5,    12077939,  43979711.5,    46809019,  87393561.5,    90222869
zipf_1.0_0.0.tr     ,9000        ,LRU         ,1150761     ,849239      ,0.5753805   ,1.0926      ,   9067770.5,    11944673,  43037330.5,    45914233,  85499280.5,    88376183
zipf_1.0_0.0.tr     ,10000       ,LRU         ,1167428     ,832572      ,0.583714    ,1.0947      ,   8909434.0,    11828004,  42212314.0,    45130884,  83840914.0,    86759484
zipf_1.0_0.0.tr     ,20000       ,LRU         ,1279636     ,720364      ,0.639818    ,1.0792      ,   7843458.0,    11042548,  36658018.0,    39857108,  72676218.0,    75875308
zipf_1.0_0.0.tr     ,30000       ,LRU         ,1344595     ,655405      ,0.6722975   ,1.1057      ,   7226347.5,    10587835,  33442547.5,    36804035,  66212797.5,    69574285
zipf_1.0_0.0.tr     ,40000       ,LRU         ,1391228     ,608772      ,0.695614    ,1.0836      ,   6783334.0,    10261404,  31134214.0,    34612284,  61572814.0,    65050884
zipf_1.0_0.0.tr     ,50000       ,LRU         ,1426656     ,573344      ,0.713328    ,1.0931      ,   6446768.0,    10013408,  29380528.0,    32947168,  58047728.0,    61614368
zipf_1.0_0.0.tr     ,60000       ,LRU         ,1455813     ,544187      ,0.7279065   ,1.215       ,   6169776.5,     9809309,  27937256.5,    31576789,  55146606.5,    58786139
zipf_1.0_0.0.tr     ,70000       ,LRU         ,1480143     ,519857      ,0.7400715   ,1.2814      ,   5938641.5,     9638999,  26732921.5,    30433279,  52725771.5,    56426129
zipf_1.0_0.0.tr     ,80000       ,LRU         ,1500561     ,499439      ,0.7502805   ,1.2342      ,   5744670.5,     9496073,  25722230.5,    29473633,  50694180.5,    54445583
zipf_1.0_0.0.tr     ,90000       ,LRU         ,1518455     ,481545      ,0.7592275   ,1.2601      ,   5574677.5,     9370815,  24836477.5,    28632615,  48913727.5,    52709865
zipf_1.0_0.0.tr     ,100000      ,LRU         ,1534004     ,465996      ,0.767002    ,1.2879      ,   5426962.0,     9261972,  24066802.0,    27901812,  47366602.0,    51201612
zipf_1.0_0.0.tr     ,200000      ,LRU         ,1624266     ,375734      ,0.812133    ,1.3602      ,   4569473.0,     8630138,  19598833.0,    23659498,  38385533.0,    42446198
zipf_1.0_0.0.tr     ,300000      ,LRU         ,1654789     ,345211      ,0.8273945   ,1.7276      ,   4279504.5,     8416477,  18087944.5,    22224917,  35348494.5,    39485467
zipf_1.0_0.0.tr     ,400000      ,LRU         ,1657362     ,342638      ,0.828681    ,1.4262      ,   4255061.0,     8398466,  17960581.0,    22103986,  35092481.0,    39235886
zipf_1.0_0.0.tr     ,500000      ,LRU         ,1657362     ,342638      ,0.828681    ,1.4721      ,   4255061.0,     8398466,  17960581.0,    22103986,  35092481.0,    39235886
zipf_1.0_0.0.tr     ,600000      ,LRU         ,1657362     ,342638      ,0.828681    ,1.5211      ,   4255061.0,     8398466,  17960581.0,    22103986,  35092481.0,    39235886
zipf_1.0_0.0.tr     ,700000      ,LRU         ,1657362     ,342638      ,0.828681    ,1.0522      ,   4255061.0,     8398466,  17960581.0,    22103986,  35092481.0,    39235886
zipf_1.0_0.0.tr     ,800000      ,LRU         ,1657362     ,342638      ,0.828681    ,1.517       ,   4255061.0,     8398466,  17960581.0,    22103986,  35092481.0,    39235886
zipf_1.0_0.0.tr     ,900000      ,LRU         ,1657362     ,342638      ,0.828681    ,1.7168      ,   4255061.0,     8398466,  17960581.0,    22103986,  35092481.0,    39235886
zipf_1.0_0.0.tr     ,1000000     ,LRU         ,1657362     ,342638      ,0.828681    ,1.0537      ,   4255061.0,     8398466,  17960581.0,    22103986,  35092481.0,    39235886
zipf_1.1_0.0.tr     ,1000        ,LRU         ,2000179     ,1999821     ,0.50004475  ,1.0904      ,  20998299.5,    25998747, 100991139.5,   105991587, 200982189.5,   205982637
zipf_1.1_0.0.tr     ,2000        ,LRU         ,2210398     ,1789602     ,0.5525995   ,1.0453      ,  19001219.0,    24527214,  90585299.0,    96111294, 180065399.0,   185591394
zipf_1.1_0.0.tr     ,3000        ,LRU         ,2331296     ,1668704     ,0.582824    ,1.0259      ,  17852688.0,    23680928,  84600848.0,    90429088, 168036048.0,   173864288
zipf_1.1_0.0.tr     ,4000        ,LRU         ,2416135     ,1583865     ,0.60403375  ,1.029       ,  17046717.5,    23087055,  80401317.5,    86441655, 159594567.5,   165634905
zipf_1.1_0.0.tr     ,5000        ,LRU         ,2481071     ,1518929     ,0.62026775  ,0.9995      ,  16429825.5,    22632503,  77186985.5,    83389663, 153133435.5,   159336113
zipf_1.1_0.0.tr     ,6000        ,LRU         ,2534098     ,1465902     ,0.6335245   ,0.994       ,  15926069.0,    22261314,  74562149.0,    80897394, 147857249.0,   154192494
zipf_1.1_0.0.tr     ,7000        ,LRU         ,2578496     ,1421504     ,0.644624    ,1.0303      ,  15504288.0,    21950528,  72364448.0,    78810688, 143439648.0,   149885888
zipf_1.1_0.0.tr     ,8000        ,LRU         ,2616477     ,1383523     ,0.65411925  ,1.006       ,  15143468.5,    21684661,  70484388.5,    77025581, 139660538.5,   146201731
zipf_1.1_0.0.tr     ,9000        ,LRU         ,2650260     ,1349740     ,0.662565    ,0.9894      ,  14822530.0,    21448180,  68812130.0,    75437780, 136299130.0,   142924780
